"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"603","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Lower secondary",5,"Yes, she worked for pay",4,0.115
"604","Keep All $ Separate","AU","Australia","Married","Man primary-earner","Female",40,"Parent","Parttime","Homemaker","Post secondary",1,"Yes, she worked for pay",5,0.115
"605","Manage $ Together","AU","Australia","Married","Woman primary-earner","Female",47,"Parent","Fulltime","Other","Upper level tertiary",0,"Yes, she worked for pay",6,0.115
"606","Manage $ Together","AU","Australia","Cohab","Man primary-earner","Female",46,"Parent","Parttime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.115
"607","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",49,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",6,0.115
"608","Manage $ Together","AU","Australia","Married","Equal-earners","Male",50,"Parent","Fulltime","Other","Lower secondary",8,"Yes, she worked for pay",6,0.115
"609","Manage $ Together","AU","Australia","Married","Woman primary-earner","Female",53,"Nonparent","Fulltime","Other","Lower secondary",3,"Yes, she worked for pay",6,0.115
"610","Manage $ Together","AU","Australia","Cohab","Man primary-earner","Female",29,"Parent","Not in labor force","Homemaker","Upper secondary",1,"Yes, she worked for pay",6,0.115
"611","One $ Manager","AU","Australia","Married","Man primary-earner","Female",53,"Parent","Not in labor force","Homemaker","Lower level tertiary",3,"No",6,0.115
"612","Manage $ Together","AU","Australia","Married","Equal-earners","Female",51,"Nonparent","Fulltime","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",6,0.115
"613","Keep Some $ Separate","AU","Australia","Married","Man primary-earner","Female",45,"Parent","Parttime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",6,0.115
"614","Manage $ Together","AU","Australia","Married","Equal-earners","Female",38,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",5,0.115
"615","One $ Manager","AU","Australia","Married","Man primary-earner","Female",42,"Parent","Not in labor force","Homemaker","Lower secondary",0,"Yes, she worked for pay",6,0.115
"616","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",6,0.115
"617","Keep Some $ Separate","AU","Australia","Cohab","Man primary-earner","Female",52,"Parent","Fulltime","Homemaker","Post secondary",1,"Yes, she worked for pay",7,0.115
"618","Keep Some $ Separate","AU","Australia","Married","Man primary-earner","Male",40,"Parent","Fulltime","Other","Upper secondary",4,"No",5,0.115
"619","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",46,"Parent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",6,0.115
"620","Manage $ Together","AU","Australia","Married","Equal-earners","Male",47,"Parent","Fulltime","Homemaker","Upper level tertiary",7,"No",6,0.115
"621","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",44,"Parent","Parttime","Homemaker","Post secondary",0,"Yes, she worked for pay",6,0.115
"622","One $ Manager","AU","Australia","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Post secondary",4,"Yes, she worked for pay",6,0.115
"623","Manage $ Together","AU","Australia","Cohab","Woman primary-earner","Male",54,"Parent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",6,0.115
"624","Keep Some $ Separate","AU","Australia","Cohab","Equal-earners","Male",28,"Nonparent","Fulltime","Other","Lower level tertiary",10,"Yes, she worked for pay",5,0.115
"625","Manage $ Together","AU","Australia","Married","Equal-earners","Female",54,"Nonparent","Parttime","Homemaker","Upper level tertiary",5,"No",6,0.115
"626","Manage $ Together","AU","Australia","Married","Woman primary-earner","Male",54,"Nonparent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",6,0.115
"627","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",47,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",7,0.115
"628","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",54,"Parent","Fulltime","Homemaker","Lower secondary",5,"No",6,0.115
"629","One $ Manager","AU","Australia","Married","Woman primary-earner","Male",36,"Parent","Parttime","Other","Lower level tertiary",10,"Yes, she worked for pay",4,0.115
"630","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",52,"Nonparent","Parttime","Homemaker","Lower secondary",2,"No",6,0.115
"631","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower level tertiary",6,"Yes, she worked for pay",7,0.115
"632","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Post secondary",4,"Yes, she worked for pay",6,0.115
"633","Manage $ Together","AU","Australia","Married","Equal-earners","Female",45,"Parent","Parttime","Homemaker","Lower level tertiary",2,"No",6,0.115
"634","Manage $ Together","AU","Australia","Married","Woman primary-earner","Male",51,"Parent","Fulltime","Other","Lower secondary",7,"Yes, she worked for pay",5,0.115
"635","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",24,"Nonparent","Fulltime","Other","Lower level tertiary",8,"Yes, she worked for pay",7,0.115
"636","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"No",6,0.115
"637","Manage $ Together","AU","Australia","Cohab","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper secondary",5,"No",7,0.115
"638","Manage $ Together","AU","Australia","Married","Equal-earners","Female",52,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",5,0.115
"639","Manage $ Together","AU","Australia","Married","Equal-earners","Female",28,"Nonparent","Fulltime","Other","Lower level tertiary",3,"Yes, she worked for pay",5,0.115
"640","Keep All $ Separate","AU","Australia","Married","Woman primary-earner","Female",47,"Parent","Parttime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.115
"641","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",6,0.115
"642","Keep All $ Separate","AU","Australia","Cohab","Man primary-earner","Female",24,"Nonparent","Fulltime","Other","Post secondary",5,"Yes, she worked for pay",5,0.115
"643","Manage $ Together","AU","Australia","Married","Woman primary-earner","Female",29,"Parent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",5,0.115
"644","Keep Some $ Separate","AU","Australia","Cohab","Equal-earners","Female",53,"Nonparent","Parttime","Other","Lower level tertiary",4,"Yes, she worked for pay",6,0.115
"645","Keep Some $ Separate","AU","Australia","Cohab","Equal-earners","Female",22,"Nonparent","Parttime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.115
"646","Manage $ Together","AU","Australia","Married","Woman primary-earner","Female",36,"Parent","Parttime","Homemaker","Lower level tertiary",6,"Yes, she worked for pay",5,0.115
"647","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",6,0.115
"648","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",53,"Nonparent","Fulltime","Homemaker","Lower level tertiary",5,"No",7,0.115
"649","One $ Manager","AU","Australia","Married","Man primary-earner","Male",40,"Parent","Unemployed","Homemaker","Lower level tertiary",5,"No",6,0.115
"650","Keep All $ Separate","AU","Australia","Cohab","Woman primary-earner","Male",33,"Parent","Student","Other","Upper secondary",6,"Yes, she worked for pay",6,0.115
"651","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",43,"Parent","Fulltime","Other","Post secondary",7,"No",7,0.36
"652","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",37,"Parent","Fulltime","Homemaker","Post secondary",7,"No",4,0.36
"653","Keep All $ Separate","CL","Chile","Married","Equal-earners","Female",30,"Parent","Fulltime","Other","Lower secondary",3,"No",5,0.36
"654","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","Upper secondary",2,"Yes, she worked for pay",7,0.36
"655","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",27,"Parent","Parttime","Homemaker","Upper secondary",4,"Yes, she worked for pay",6,0.36
"656","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",44,"Parent","Not in labor force","Other","Lower secondary",0,"Yes, she worked for pay",5,0.36
"657","One $ Manager","CL","Chile","Married","Man primary-earner","Male",35,"Parent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",6,0.36
"658","One $ Manager","CL","Chile","Married","Man primary-earner","Female",41,"Nonparent","Not in labor force","Homemaker","Upper secondary",1,"No",5,0.36
"659","One $ Manager","CL","Chile","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Upper secondary",8,"Yes, she worked for pay",5,0.36
"660","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",25,"Parent","Parttime","Homemaker","Upper secondary",1,"Yes, she worked for pay",6,0.36
"661","One $ Manager","CL","Chile","Married","Man primary-earner","Female",35,"Parent","Fulltime","Homemaker","Upper secondary",4,"No",6,0.36
"662","Manage $ Together","CL","Chile","Married","Woman primary-earner","Female",40,"Parent","Fulltime","Homemaker","Upper secondary",7,"Yes, she worked for pay",6,0.36
"663","Manage $ Together","CL","Chile","Cohab","Equal-earners","Female",50,"Parent","Not in labor force","Other","Primary school",4,"Yes, she worked for pay",5,0.36
"664","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",47,"Nonparent","Fulltime","Homemaker","Lower secondary",7,"No",6,0.36
"665","Manage $ Together","CL","Chile","Married","Equal-earners","Female",51,"Parent","Fulltime","Homemaker","Lower secondary",6,"No",6,0.36
"666","Manage $ Together","CL","Chile","Cohab","Equal-earners","Male",34,"Parent","Fulltime","Other","Upper secondary",5,"No",7,0.36
"667","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Upper secondary",2,"No",6,0.36
"668","One $ Manager","CL","Chile","Married","Man primary-earner","Female",54,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.36
"669","One $ Manager","CL","Chile","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Other","Lower secondary",7,"No",2,0.36
"670","One $ Manager","CL","Chile","Married","Man primary-earner","Female",34,"Parent","Not in labor force","Homemaker","Upper secondary",5,"Yes, she worked for pay",7,0.36
"671","One $ Manager","CL","Chile","Married","Man primary-earner","Female",22,"Parent","Not in labor force","Other","Upper secondary",2,"Yes, she worked for pay",7,0.36
"672","One $ Manager","CL","Chile","Married","Man primary-earner","Female",27,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.36
"673","One $ Manager","CL","Chile","Married","Man primary-earner","Female",30,"Parent","Not in labor force","Homemaker","Upper secondary",0,"Yes, she worked for pay",7,0.36
"674","One $ Manager","CL","Chile","Married","Man primary-earner","Female",35,"Parent","Not in labor force","Homemaker","Upper secondary",1,"Yes, she worked for pay",7,0.36
"675","One $ Manager","CL","Chile","Married","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Upper secondary",0,"No",6,0.36
"676","One $ Manager","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Fulltime","Homemaker","Upper secondary",0,"Yes, she worked for pay",5,0.36
"677","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Lower secondary",4,"No",6,0.36
"678","One $ Manager","CL","Chile","Married","Man primary-earner","Male",40,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",5,0.36
"679","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",18,"Parent","Not in labor force","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.36
"680","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",24,"Parent","Not in labor force","Other","Upper secondary",3,"Yes, she worked for pay",5,0.36
"681","One $ Manager","CL","Chile","Married","Man primary-earner","Female",51,"Parent","Not in labor force","Homemaker","Primary school",3,"No",4,0.36
"682","One $ Manager","CL","Chile","Married","Man primary-earner","Female",50,"Nonparent","Not in labor force","Other","Primary school",1,"Yes, she worked for pay",6,0.36
"683","Manage $ Together","CL","Chile","Married","Equal-earners","Female",45,"Parent","Not in labor force","Other","Upper secondary",1,"No",6,0.36
"684","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",45,"Parent","Not in labor force","Other","Upper secondary",3,"Yes, she worked for pay",7,0.36
"685","Manage $ Together","CL","Chile","Married","Equal-earners","Male",35,"Parent","Fulltime","Other","Upper secondary",0,"Yes, she worked for pay",6,0.36
"686","Keep All $ Separate","CL","Chile","Cohab","Man primary-earner","Male",40,"Parent","Fulltime","Homemaker","Upper secondary",7,"No",6,0.36
"687","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Female",23,"Nonparent","Student","Other","Upper secondary",6,"Yes, she worked for pay",7,0.36
"688","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",51,"Nonparent","Parttime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.36
"689","Manage $ Together","CL","Chile","Cohab","Equal-earners","Female",35,"Parent","Fulltime","Homemaker","Post secondary",8,"No",6,0.36
"690","One $ Manager","CL","Chile","Married","Man primary-earner","Female",48,"Nonparent","Not in labor force","Homemaker","Lower secondary",0,"No",4,0.36
"691","One $ Manager","CL","Chile","Married","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.36
"692","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Lower level tertiary",6,"No",6,0.36
"693","One $ Manager","CL","Chile","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Upper secondary",4,"No",6,0.36
"694","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",6,0.36
"695","Manage $ Together","CL","Chile","Married","Equal-earners","Female",51,"Nonparent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",7,0.36
"696","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Female",35,"Nonparent","Fulltime","Homemaker","Upper secondary",0,"Yes, she worked for pay",7,0.36
"697","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",49,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.36
"698","Manage $ Together","CL","Chile","Married","Equal-earners","Female",41,"Parent","Fulltime","Other","Post secondary",12,"Yes, she worked for pay",6,0.36
"699","Manage $ Together","CL","Chile","Married","Woman primary-earner","Male",54,"Parent","Unemployed","Homemaker","Lower secondary",3,"No",6,0.36
"700","Keep All $ Separate","CL","Chile","Married","Man primary-earner","Male",43,"Nonparent","Fulltime","Other","Lower level tertiary",2,"No",6,0.36
"701","One $ Manager","CL","Chile","Married","Man primary-earner","Male",45,"Parent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",6,0.36
"702","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Parttime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.36
"703","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",48,"Parent","Not in labor force","Other","Post secondary",11,"No",6,0.36
"704","One $ Manager","CL","Chile","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Lower secondary",3,"Yes, she worked for pay",7,0.36
"705","Keep All $ Separate","CL","Chile","Cohab","Equal-earners","Female",37,"Parent","Fulltime","Other","Lower level tertiary",6,"No",6,0.36
"706","One $ Manager","CL","Chile","Married","Woman primary-earner","Female",32,"Parent","Not in labor force","Homemaker","No formal education",2,"Yes, she worked for pay",5,0.36
"707","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",34,"Parent","Parttime","Homemaker","Primary school",4,"Yes, she worked for pay",7,0.36
"708","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Female",41,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",5,0.36
"709","One $ Manager","CL","Chile","Married","Woman primary-earner","Male",42,"Parent","Fulltime","Homemaker","Upper secondary",2,"No",6,0.36
"710","Manage $ Together","CL","Chile","Cohab","Equal-earners","Female",29,"Parent","Fulltime","Other","Lower level tertiary",3,"Yes, she worked for pay",7,0.36
"711","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Female",44,"Parent","Parttime","Homemaker","Upper secondary",2,"No",5,0.36
"712","One $ Manager","CL","Chile","Married","Man primary-earner","Male",34,"Parent","Fulltime","Homemaker","Upper secondary",4,"No",6,0.36
"713","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",47,"Parent","Fulltime","Other","No formal education",3,"Yes, she worked for pay",5,0.36
"714","One $ Manager","CL","Chile","Married","Man primary-earner","Female",44,"Parent","Not in labor force","Other","Lower secondary",2,"Yes, she worked for pay",6,0.36
"715","Manage $ Together","CL","Chile","Married","Equal-earners","Female",27,"Parent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",7,0.36
"716","Keep All $ Separate","CL","Chile","Married","Man primary-earner","Male",50,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",5,0.36
"717","Keep All $ Separate","CL","Chile","Married","Man primary-earner","Female",54,"Parent","Parttime","Homemaker","No formal education",2,"Yes, she worked for pay",6,0.36
"718","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.36
"719","Keep Some $ Separate","CL","Chile","Cohab","Man primary-earner","Female",34,"Parent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",6,0.36
"720","Manage $ Together","CL","Chile","Cohab","Woman primary-earner","Female",31,"Parent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",6,0.36
"721","One $ Manager","CL","Chile","Married","Man primary-earner","Female",34,"Parent","Parttime","Homemaker","Lower secondary",4,"Yes, she worked for pay",4,0.36
"722","Manage $ Together","CL","Chile","Cohab","Woman primary-earner","Male",35,"Parent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",6,0.36
"723","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",44,"Parent","Parttime","Homemaker","Lower secondary",5,"No",6,0.36
"724","One $ Manager","CL","Chile","Married","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Upper secondary",3,"No",7,0.36
"725","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",42,"Parent","Fulltime","Homemaker","Primary school",6,"No",6,0.36
"726","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",27,"Parent","Not in labor force","Other","Primary school",2,"No",4,0.36
"727","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",40,"Parent","Not in labor force","Other","Lower secondary",1,"Yes, she worked for pay",4,0.36
"728","One $ Manager","CL","Chile","Married","Man primary-earner","Female",45,"Parent","Not in labor force","Homemaker","Upper secondary",1,"Yes, she worked for pay",6,0.36
"729","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Lower secondary",2,"No",5,0.36
"730","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",23,"Parent","Student","Other","Upper secondary",5,"Yes, she worked for pay",6,0.36
"731","One $ Manager","CL","Chile","Married","Man primary-earner","Female",34,"Parent","Not in labor force","Other","Primary school",2,"Yes, she worked for pay",5,0.36
"732","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",22,"Parent","Fulltime","Homemaker","Upper secondary",1,"Yes, she worked for pay",6,0.36
"733","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",52,"Nonparent","Not in labor force","Other","No formal education",2,"No",6,0.36
"734","One $ Manager","CL","Chile","Married","Man primary-earner","Male",50,"Nonparent","Fulltime","Other","Upper secondary",12,"No",6,0.36
"735","Manage $ Together","CL","Chile","Married","Woman primary-earner","Female",54,"Nonparent","Fulltime","Other","No formal education",1,"No",5,0.36
"736","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",27,"Nonparent","Fulltime","Other","Primary school",8,"Yes, she worked for pay",6,0.36
"737","One $ Manager","CL","Chile","Married","Man primary-earner","Female",38,"Parent","Fulltime","Other","Primary school",2,"Yes, she worked for pay",5,0.36
"738","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",38,"Nonparent","Not in labor force","Other","Lower secondary",3,"No",3,0.36
"739","Manage $ Together","CL","Chile","Married","Equal-earners","Female",54,"Nonparent","Fulltime","Other","Upper secondary",3,"No",6,0.36
"740","One $ Manager","CL","Chile","Married","Man primary-earner","Female",51,"Nonparent","Not in labor force","Homemaker","Upper secondary",3,"No",6,0.36
"741","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",47,"Parent","Not in labor force","Other","Post secondary",3,"No",6,0.36
"742","One $ Manager","CL","Chile","Married","Man primary-earner","Male",46,"Nonparent","Fulltime","Homemaker","No formal education",3,"No",5,0.36
"743","One $ Manager","CL","Chile","Married","Man primary-earner","Female",46,"Nonparent","Unemployed","Homemaker","Upper secondary",2,"No",5,0.36
"744","One $ Manager","CL","Chile","Married","Man primary-earner","Female",29,"Parent","Not in labor force","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.36
"745","One $ Manager","CL","Chile","Married","Man primary-earner","Female",52,"Nonparent","Not in labor force","Other","No formal education",2,"No",4,0.36
"746","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",31,"Parent","Unemployed","Homemaker","Lower secondary",3,"No",7,0.36
"747","One $ Manager","CL","Chile","Married","Man primary-earner","Female",25,"Parent","Not in labor force","Other","Upper secondary",4,"No",6,0.36
"748","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Homemaker","Lower secondary",0,"Yes, she worked for pay",5,0.36
"749","Keep Some $ Separate","CL","Chile","Cohab","Man primary-earner","Male",41,"Parent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",5,0.36
"750","One $ Manager","CL","Chile","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.36
"751","Manage $ Together","CL","Chile","Married","Equal-earners","Female",54,"Nonparent","Fulltime","Homemaker","Post secondary",3,"No",7,0.36
"752","Keep Some $ Separate","CL","Chile","Married","Woman primary-earner","Male",33,"Parent","Fulltime","Homemaker","Upper secondary",11,"No",6,0.36
"753","One $ Manager","CL","Chile","Married","Man primary-earner","Female",37,"Parent","Not in labor force","Other","Primary school",0,"No",6,0.36
"754","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",47,"Nonparent","Not in labor force","Other","Primary school",0,"No",6,0.36
"755","Keep All $ Separate","CL","Chile","Cohab","Man primary-earner","Female",33,"Parent","Fulltime","Homemaker","Lower secondary",0,"No",6,0.36
"756","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",48,"Parent","Not in labor force","Other","Upper secondary",2,"No",7,0.36
"757","One $ Manager","CL","Chile","Married","Man primary-earner","Female",51,"Parent","Not in labor force","Homemaker","Lower secondary",2,"No",7,0.36
"758","Manage $ Together","CL","Chile","Married","Equal-earners","Male",38,"Parent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",6,0.36
"759","One $ Manager","CL","Chile","Married","Man primary-earner","Male",48,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",7,0.36
"760","One $ Manager","CL","Chile","Married","Man primary-earner","Male",38,"Nonparent","Fulltime","Homemaker","Post secondary",4,"No",5,0.36
"761","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",25,"Parent","Fulltime","Homemaker","Post secondary",2,"Yes, she worked for pay",6,0.36
"762","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",25,"Parent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.36
"763","One $ Manager","CL","Chile","Married","Man primary-earner","Female",32,"Parent","Parttime","Homemaker","No formal education",4,"No",6,0.36
"764","One $ Manager","CL","Chile","Married","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.36
"765","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",19,"Nonparent","Not in labor force","Other","Lower secondary",3,"Yes, she worked for pay",2,0.36
"766","Manage $ Together","CL","Chile","Married","Equal-earners","Female",30,"Parent","Fulltime","Other","Upper secondary",3,"No",7,0.36
"767","One $ Manager","CL","Chile","Married","Man primary-earner","Female",47,"Nonparent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",7,0.36
"768","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",23,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",6,0.36
"769","One $ Manager","CL","Chile","Married","Man primary-earner","Female",26,"Parent","Not in labor force","Homemaker","Upper secondary",3,"Yes, she worked for pay",5,0.36
"770","One $ Manager","CL","Chile","Married","Man primary-earner","Male",35,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",7,0.36
"771","One $ Manager","CL","Chile","Married","Man primary-earner","Male",52,"Nonparent","Fulltime","Homemaker","Upper secondary",4,"No",6,0.36
"772","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Lower secondary",4,"Yes, she worked for pay",6,0.36
"773","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",42,"Parent","Fulltime","Other","Post secondary",6,"No",6,0.36
"774","One $ Manager","CL","Chile","Married","Man primary-earner","Male",51,"Parent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",7,0.36
"775","Manage $ Together","CL","Chile","Cohab","Equal-earners","Male",45,"Parent","Fulltime","Homemaker","Lower secondary",6,"No",6,0.36
"776","Keep All $ Separate","CL","Chile","Married","Woman primary-earner","Male",34,"Parent","Unemployed","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.36
"777","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",45,"Nonparent","Not in labor force","Other","Lower secondary",3,"No",5,0.36
"778","Manage $ Together","CL","Chile","Married","Man primary-earner","Female",52,"Parent","Not in labor force","Other","Upper secondary",1,"Yes, she worked for pay",6,0.36
"779","One $ Manager","CL","Chile","Cohab","Man primary-earner","Male",48,"Parent","Fulltime","Other","Upper secondary",2,"Yes, she worked for pay",6,0.36
"780","One $ Manager","CL","Chile","Married","Man primary-earner","Male",45,"Parent","Fulltime","Other","Lower secondary",3,"No",6,0.36
"781","Manage $ Together","CL","Chile","Married","Equal-earners","Female",43,"Parent","Fulltime","Other","Primary school",0,"Yes, she worked for pay",2,0.36
"782","One $ Manager","CL","Chile","Cohab","Woman primary-earner","Female",29,"Parent","Not in labor force","Other","No formal education",2,"Yes, she worked for pay",6,0.36
"783","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Female",35,"Parent","Fulltime","Homemaker","Lower secondary",4,"No",6,0.36
"784","Manage $ Together","CL","Chile","Married","Man primary-earner","Male",26,"Parent","Fulltime","Other","Upper secondary",3,"Yes, she worked for pay",6,0.36
"785","Manage $ Together","CL","Chile","Cohab","Man primary-earner","Male",22,"Nonparent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",6,0.36
"786","Keep Some $ Separate","CL","Chile","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",7,0.36
"787","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",51,"Parent","Parttime","Homemaker","Primary school",2,"Yes, she worked for pay",6,0.36
"788","One $ Manager","CL","Chile","Married","Man primary-earner","Female",45,"Parent","Not in labor force","Homemaker","Lower secondary",3,"No",7,0.36
"789","One $ Manager","CL","Chile","Cohab","Man primary-earner","Female",19,"Nonparent","Unemployed","Other","Upper secondary",3,"No",6,0.36
"790","One $ Manager","CL","Chile","Cohab","Equal-earners","Female",20,"Parent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.36
